sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
28	A2058	PLX	1hr	MET	1.76951193491854	0.0387777977155086	Good	0.936993346528218
29	A2058	SR	1hr	MET	1.45761116212345	0.252010714372067	Poor	0.799786645883923
30	A2058	St	1hr	MET	1.25544957520055	0.223277998674974	Poor	0.658855720388638
31	A2058	Tm 	1hr	MET	1.4094789432177	0.155492573929768	Good	0.836982745378682
32	A2058	991	1hr	MET	1.3393836041464	0.222666174070594	Poor	0.688275233374306
33	A2058	901	12hr	MET	1.43837841437796	0.179314532911388	Undet.	0.895070575219639
34	A2058	AK	12hr	MET	1.01969018908509	0.119750759736589	Good	0.613163072209916
35	A2058	Nt	12hr	MET	1.2070648437839	0.237825001393004	Poor	0.702394439210882
36	A2058	PLX	12hr	MET	1.37979439201547	0.2484266592269	Poor	0.81212147852588
37	A2058	SR	12hr	MET	1.10615118566414	0.124102273664888	Poor	0.67820428305588
38	A2058	St	12hr	MET	1.28044657685849	0.144470628381801	Poor	0.738222298563557
39	A2058	Tm 	12hr	MET	1.28329297079069	0.249034935719221	Poor	0.780354497288349
40	A2058	991	12hr	MET	1.20194989176339	0.263260431046674	Poor	0.67525274818168
41	A2058	901	24hr	MET	0.924419046155595	0.126760481208344	Poor	0.724466337112535
42	A2058	AK	24hr	MET	0.823112164899609	0.11341425098194	Undet.	0.679415736607189
43	A2058	Nt	24hr	MET	0.659628564941391	0.085685569605518	Poor	0.490977718601705
44	A2058	PLX	24hr	MET	1.37950605204398	0.220587885836113	Undet.	0.97045800354835
45	A2058	SR	24hr	MET	1.37368913187617	0.1669977275476	Good	0.987200238502458
46	A2058	St	24hr	MET	1.09189929617736	0.0576323706209793	Undet.	0.848736335932654
47	A2058	Tm 	24hr	MET	0.506069154536481	0.1023505495944	Undet.	0.52743007247158
48	A2058	991	24hr	MET	0.619520711788773	0.176596471690992	Undet.	0.539417250142597
49	A2058	901	48hr	MET	2.21486505423471	0.232971781073645	Undet.	1.22031132464722
50	A2058	AK	48hr	MET	1.5071949745179	0.129706167367201	Good	0.878318749719056
51	A2058	Nt	48hr	MET	1.99912079053859	0.212643095460737	Undet.	0.850508738795401
52	A2058	PLX	48hr	MET	1.59975487548563	0.120875041471986	Undet.	0.776957200332992
53	A2058	SR	48hr	MET	2.02436434810517	0.117384074026994	Poor	0.891594075360128
54	A2058	St	48hr	MET	1.58024388529371	0.1313009585194	Poor	0.710381607234754
55	A2058	Tm 	48hr	MET	1.02191214537653	0.177375495612365	Undet.	0.609550936699392
56	A2058	991	48hr	MET	2.04155499801518	0.0957724808219332	Undet.	0.85510156984929
57	A2058	DMSO	5min	MET	2.15917240565328	0.0530219681757399	Undet.	1.12193941577203
58	A2058	DMSO	15min	MET	1.31749252036002	0.150991504981597	Undet.	0.728701615243374
59	A2058	DMSO	30min	MET	1.17984481685895	0.255556999641513	Poor	0.664888597835418
60	A2058	DMSO	1hr	MET	1.46007399777171	0.261981525429452	Poor	0.829351887402278
61	A2058	DMSO	12hr	MET	0.860456768986462	0.166339050093937	Good	0.534611226459436
62	A2058	DMSO	24hr	MET	0.64507897093201	0.134625312825962	Good	0.575193019110129
63	A2058	DMSO	48hr	MET	2.03586330779201	0.0856116273778433	Undet.	0.852717615829114
64	A2058	DMSO-2	mix	MET	1.80442452530713	0.219501045547485	Undet.	0.820192966048695
65	Mel133	DMSO-2	mix	MET	1.27834260545474	0.219888309818819	Undet.	0.608734574026067
1	A2058	901	5min	MET-pY1234/5	1.28855402676785	0.0472242862902036	Good	0.711122531328836
2	A2058	AK	5min	MET-pY1234/5	1.22252626440283	0.0451499959991787	Good	0.621992502876026
3	A2058	Nt	5min	MET-pY1234/5	1.03022565257135	0.065659634018469	Good	0.532829403967598
4	A2058	PLX	5min	MET-pY1234/5	0.774755665674294	0.426813398841328	Poor	0.422901564232693
5	A2058	SR	5min	MET-pY1234/5	1.0617937410358	0.13600039149887	Good	0.558838811071474
6	A2058	St	5min	MET-pY1234/5	0.954827414163364	0.0436924902124622	Good	0.51169743524296
7	A2058	Tm 	5min	MET-pY1234/5	1.24730374787631	0.0412339501452193	Good	0.614435343781434
8	A2058	991	5min	MET-pY1234/5	1.28708131272233	0.143851320999901	Good	0.621628260189486
9	A2058	901	15min	MET-pY1234/5	1.01754617703975	0.0676327449114579	Undet.	0.601742269095062
10	A2058	AK	15min	MET-pY1234/5	1.16040132276738	0.0264432482722523	Good	0.64700380416358
11	A2058	Nt	15min	MET-pY1234/5	0.911190822274438	0.155380100327691	Undet.	0.532860129985052
12	A2058	PLX	15min	MET-pY1234/5	0.844022344140474	0.100629948042635	Good	0.544882081433489
