sampleNumber	sampleNameNumber	sampleName	treatment	time	replicate	antibody	readout	cv	quality
14	S014	A2058 	901	1hr	rep2	Bad (phospho-Ser112)	0.941783838	0.019560857	Good
15	S015	A2058 	4032	1hr	rep2	Bad (phospho-Ser112)	0.961030659	0.0235832	Good
16	S016	A2058 	combo	1hr	rep2	Bad (phospho-Ser112)	1.044307292	0.045629598	Good
17	S017	A2058 	DMSO	3.5hr	rep2	Bad (phospho-Ser112)	1.254568615	0.060149194	Good
18	S018	A2058 	901	6hr	rep2	Bad (phospho-Ser112)	1.011953041	0.026649141	Good
19	S019	A2058 	4032	6hr	rep2	Bad (phospho-Ser112)	1.0148229	0.050892715	Good
20	S020	A2058 	combo	6hr	rep2	Bad (phospho-Ser112)	1.065698404	0.031625209	Good
21	S021	A2058 	DMSO	24hr	rep2	Bad (phospho-Ser112)	0.789973361	0.017121698	Good
22	S022	A2058 	901	24hr	rep2	Bad (phospho-Ser112)	0.960702591	0.018908337	Good
23	S023	A2058 	4032	24hr	rep2	Bad (phospho-Ser112)	0.642418792	0.056880611	Undet.
24	S024	A2058 	combo	24hr	rep2	Bad (phospho-Ser112)	0.958221294	0.036891426	Good
25	S025	A375	DMSO	1hr	rep1	Bad (phospho-Ser112)	1.547045375	0.044506238	Good
26	S026	A375	901	1hr	rep1	Bad (phospho-Ser112)	1.43457585	0.072382853	Good
27	S027	A375	4032	1hr	rep1	Bad (phospho-Ser112)	1.399801678	0.030631167	Good
28	S028	A375	combo	1hr	rep1	Bad (phospho-Ser112)	1.37124526	0.052959405	Good
29	S029	A375	DMSO	3.5hr	rep1	Bad (phospho-Ser112)	1.364013948	0.032922393	Good
30	S030	A375	901	6hr	rep1	Bad (phospho-Ser112)	1.327828799	0.042725363	Good
31	S031	A375	4032	6hr	rep1	Bad (phospho-Ser112)	1.380291736	0.053152139	Good
32	S032	A375	combo	6hr	rep1	Bad (phospho-Ser112)	1.120688648	0.034839464	Good
33	S033	A375	DMSO	24hr	rep1	Bad (phospho-Ser112)	1.329941524	0.048257755	Good
34	S034	A375	901	24hr	rep1	Bad (phospho-Ser112)	0.9139988	0.021883291	Good
35	S035	A375	4032	24hr	rep1	Bad (phospho-Ser112)	0.979797361	0.021185223	Good
36	S036	A375	combo	24hr	rep1	Bad (phospho-Ser112)	0.977404499	0.038378245	Good
