sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
59	Mel133	DMSO	30min	Cyclin-D1	2.80012066863232	0.101617622064828	Good	14.9235529068931
60	Mel133	DMSO	1hr	Cyclin-D1	2.45233715372747	0.096066103267652	Good	17.7214029498351
61	Mel133	DMSO	12hr	Cyclin-D1	1.52677278726236	0.0691362583234369	Good	14.3283688898639
62	Mel133	DMSO	24hr	Cyclin-D1	2.60615747110873	0.0875967476102117	Good	14.8078572402507
63	Mel133	DMSO	48hr	Cyclin-D1	5.18073089789174	0.0944829036165203	Good	22.7305380190242
64	A2058	DMSO-2	mix	Cyclin-D1	1.1612493830968	0.0618745624024325	Good	51.6690943178923
65	Mel133	DMSO-2	mix	Cyclin-D1	1.66331052158476	0.102888075602035	Good	8.31147371037308
1	Mel133	901	5min	EGFR-pY1068	0.932540875375155	0.050095997715453	Good	7.32305756044363
2	Mel133	AK	5min	EGFR-pY1068	0.739202392299755	0.139376699907608	Good	8.6466610796965
3	Mel133	Nt	5min	EGFR-pY1068	1.02093496756065	0.0412487517415111	Good	9.35712105002875
4	Mel133	PLX	5min	EGFR-pY1068	0.988633622056002	0.0550803382170763	Good	7.44722435335972
5	Mel133	SR	5min	EGFR-pY1068	0.963746921769181	0.0562398020783706	Good	15.7125638321851
6	Mel133	St	5min	EGFR-pY1068	0.932578120798589	0.0507883476066609	Good	9.98353450133949
7	Mel133	Tm 	5min	EGFR-pY1068	0.895837350490141	0.0450621476994547	Good	0.861145307750389
8	Mel133	991	5min	EGFR-pY1068	0.899518242089596	0.0433700856259015	Good	1.04492999209868
9	Mel133	901	15min	EGFR-pY1068	0.811117769840541	0.0593529638674291	Good	1.91239533228133
10	Mel133	AK	15min	EGFR-pY1068	0.872119379065687	0.0389031695718864	Good	1.50330903492273
11	Mel133	Nt	15min	EGFR-pY1068	0.78735819853461	0.0397006074574199	Good	2.15284462154632
12	Mel133	PLX	15min	EGFR-pY1068	0.833762334686469	0.0542701970792477	Good	6.91936563481007
13	Mel133	SR	15min	EGFR-pY1068	1.13375409925061	0.0485932996700901	Good	1.04824699023661
14	Mel133	St	15min	EGFR-pY1068	0.858817031924092	0.0355337410331704	Good	0.278831026850906
15	Mel133	Tm 	15min	EGFR-pY1068	0.966064982660086	0.042976006369116	Good	0.329941722365008
16	Mel133	991	15min	EGFR-pY1068	1.03390547638207	0.0351281380961102	Good	0.332579378688858
17	Mel133	901	30min	EGFR-pY1068	0.766551112376457	0.0421760433154492	Good	0.187688815013015
18	Mel133	AK	30min	EGFR-pY1068	0.612599884041274	0.0548206760326432	Good	0.281361769046425
19	Mel133	Nt	30min	EGFR-pY1068	0.770064406237243	0.0374051969131963	Good	0.264716532949809
20	Mel133	PLX	30min	EGFR-pY1068	0.90492941370894	0.0326989181140721	Good	5.08733427036149
21	Mel133	SR	30min	EGFR-pY1068	0.88610297210264	0.0667803387691297	Good	5.441122474126
22	Mel133	St	30min	EGFR-pY1068	0.952051618424431	0.0526080552060285	Undet.	5.5890611290805
23	Mel133	Tm 	30min	EGFR-pY1068	0.82931461255159	0.0673543245349493	Good	5.02366487117693
24	Mel133	991	30min	EGFR-pY1068	0.815201465205651	0.0495714507783606	Good	5.32146414558753
25	Mel133	901	1hr	EGFR-pY1068	1.05516531431841	0.0475907969322605	Good	8.06377237528602
26	Mel133	AK	1hr	EGFR-pY1068	0.843921239336206	0.100374030577797	Good	2.59402964357172
27	Mel133	Nt	1hr	EGFR-pY1068	1.01290184395991	0.0503913826261464	Good	2.71772823485876
28	Mel133	PLX	1hr	EGFR-pY1068	0.861848461988712	0.0629603990174313	Good	4.77289146063605
29	Mel133	SR	1hr	EGFR-pY1068	0.708433250520432	0.0472565991983891	Good	5.63982792023847
30	Mel133	St	1hr	EGFR-pY1068	0.854369565810928	0.0448345646737981	Good	3.89999213215004
31	Mel133	Tm 	1hr	EGFR-pY1068	0.951129406167086	0.0521409363629339	Good	6.62772954149303
32	Mel133	991	1hr	EGFR-pY1068	0.77056757186414	0.0506768330052753	Good	6.48931995906501
33	Mel133	901	12hr	EGFR-pY1068	0.756461478908176	0.0525508022176641	Good	1.2266217756915
34	Mel133	AK	12hr	EGFR-pY1068	0.553210571523792	0.0458892280831098	Good	1.93290890128667
35	Mel133	Nt	12hr	EGFR-pY1068	0.679887371716112	0.0427594640433799	Good	2.33784558062316
36	Mel133	PLX	12hr	EGFR-pY1068	0.772431488449692	0.0481376080110375	Good	2.0748859647646
37	Mel133	SR	12hr	EGFR-pY1068	0.531317427966119	0.0453522680147222	Good	1.22976979986006
38	Mel133	St	12hr	EGFR-pY1068	0.613091801602307	0.0459865424139712	Good	1.5296687085952
39	Mel133	Tm 	12hr	EGFR-pY1068	0.639908523140815	0.0449995201584637	Good	1.08386566803359
40	Mel133	991	12hr	EGFR-pY1068	0.677301360926214	0.0429775307913664	Good	1.80576898644655
