sampleNumber	sampleName	treatment	time	antibody	readout	cv	quality	normReadout
7	A2058	Tm 	5min	MEK1/2	0.0573578306182643	0.131166744539439	Good	0.0858820662770803
8	A2058	991	5min	MEK1/2	0.0508078425100513	0.137337489417416	Undet.	0.0787303931447263
9	A2058	901	15min	MEK1/2	0.0461796402286058	0.204158392942278	Undet.	0.0780657521356
10	A2058	AK	15min	MEK1/2	0.0500519351406127	0.181236672776998	Undet.	0.070351124397265
11	A2058	Nt	15min	MEK1/2	0.0390374162605866	0.204961410357891	Good	0.0666354885239787
12	A2058	PLX	15min	MEK1/2	0.0381468776047976	0.0869859782603362	Good	0.0718833335242078
13	A2058	SR	15min	MEK1/2	0.0420903994497992	0.124912728111426	Good	0.0689991658442051
14	A2058	St	15min	MEK1/2	0.0572774152101124	0.126664190641014	Good	0.0986357473050477
15	A2058	Tm 	15min	MEK1/2	0.060184520339086	0.11002801568846	Good	0.0942346188884607
16	A2058	991	15min	MEK1/2	0.0391859683711425	0.186441999282556	Good	0.06662055781361
17	A2058	901	30min	MEK1/2	0.0584915863183194	0.159661289684672	Undet.	0.0857843923080988
18	A2058	AK	30min	MEK1/2	0.0449452252107288	0.120572675184176	Poor	0.0685050093277152
19	A2058	Nt	30min	MEK1/2	0.00778070918892178	1.26413130242305	Poor	0.0105708467246112
20	A2058	PLX	30min	MEK1/2	0.0161145725778829	0.759940113422308	Poor	0.0248460837533444
21	A2058	SR	30min	MEK1/2	0.0605314462385642	0.13829929104769	Undet.	0.0865540586120579
22	A2058	St	30min	MEK1/2	0.076606806742972	0.217811551138083	Undet.	0.122745572089237
23	A2058	Tm 	30min	MEK1/2	0.0693464334579879	0.168348698650264	Undet.	0.102374334009782
24	A2058	991	30min	MEK1/2	0.0835410613543214	0.155799486566149	Undet.	0.123560633173865
25	A2058	901	1hr	MEK1/2	0.0659420256092559	0.172679578130899	Undet.	0.0997205114836212
26	A2058	AK	1hr	MEK1/2	0.0633116180471238	0.351352970616284	Undet.	0.0930301684829784
27	A2058	Nt	1hr	MEK1/2	0.0612246193953278	0.189102309853886	Undet.	0.0984037533327251
28	A2058	PLX	1hr	MEK1/2	0.0664736548231161	0.24792963853797	Undet.	0.0942520505881307
29	A2058	SR	1hr	MEK1/2	0.0723972518917408	0.126685381878819	Undet.	0.104931027093507
30	A2058	St	1hr	MEK1/2	0.0627961113258211	0.0898508977266318	Good	0.0930132714949937
31	A2058	Tm 	1hr	MEK1/2	0.0517805107665471	0.37140113541598	Undet.	0.0808511127128085
32	A2058	991	1hr	MEK1/2	0.091451438299367	0.138598552039362	Undet.	0.134905583939535
33	A2058	901	12hr	MEK1/2	0.0733820358050702	0.239074452104054	Poor	0.0969374992643822
34	A2058	AK	12hr	MEK1/2	0.0310708416057008	0.394299548426212	Undet.	0.0365074120072765
35	A2058	Nt	12hr	MEK1/2	0.0571322440846793	0.121857703275685	Undet.	0.0785946677974909
36	A2058	PLX	12hr	MEK1/2	0.0590735188353308	0.156975637620464	Undet.	0.070455355228722
37	A2058	SR	12hr	MEK1/2	0.0494653708236618	0.0816302183354183	Undet.	0.0621872703498951
38	A2058	St	12hr	MEK1/2	0.0536892999743722	0.297784505511534	Undet.	0.0649632809003606
39	A2058	Tm 	12hr	MEK1/2	0.0622666322244978	0.0951123696611493	Undet.	0.0799217183082766
40	A2058	991	12hr	MEK1/2	0.0738908321505482	0.185649650337309	Undet.	0.0926291221926083
41	A2058	901	24hr	MEK1/2	0.023923776688937	0.24786313443323	Poor	0.0409319943215574
42	A2058	AK	24hr	MEK1/2	0.0231345845582887	0.0745135785842575	Undet.	0.0382341675834707
43	A2058	Nt	24hr	MEK1/2	0.00684857366838607	0.180128499984218	Poor	0.0128503220475129
44	A2058	PLX	24hr	MEK1/2	0.0307507851928083	0.20229407100025	Undet.	0.0545331891586828
45	A2058	SR	24hr	MEK1/2	0.0299291451124927	0.143030132214682	Good	0.056555241297022
46	A2058	St	24hr	MEK1/2	0.0142516840067561	0.119818052711622	Poor	0.0272578643630057
47	A2058	Tm 	24hr	MEK1/2	0.0110162518154945	0.132526981505358	Poor	0.023265019567594
48	A2058	991	24hr	MEK1/2	0.0229157431614598	0.144872474008472	Undet.	0.0543896983836835
49	A2058	901	48hr	MEK1/2	0.0724647369374119	0.104409364908492	Undet.	0.130022681842391
50	A2058	AK	48hr	MEK1/2	0.0613139110171172	0.184546428418073	Undet.	0.124981288701079
51	A2058	Nt	48hr	MEK1/2	0.097016721265344	0.25406232681539	Undet.	0.243942619254678
52	A2058	PLX	48hr	MEK1/2	0.0866799763423125	0.283391715005682	Undet.	0.177719771684438
53	A2058	SR	48hr	MEK1/2	0.140171176850651	0.0896499252145498	Undet.	0.327638670252678
54	A2058	St	48hr	MEK1/2	0.081268108015924	0.194995684186753	Good	0.229137593426832
55	A2058	Tm 	48hr	MEK1/2	0.0336199209288331	0.105338931515707	Undet.	0.07014494719167
56	A2058	991	48hr	MEK1/2	0.165893956298567	0.239873931575233	Good	0.410665792873031
57	A2058	DMSO	5min	MEK1/2	0.0785764141756721	0.322852215548466	Undet.	0.152665621177499
58	A2058	DMSO	15min	MEK1/2	0.06471627548218	0.181112053650576	Undet.	0.129521423359682
59	A2058	DMSO	30min	MEK1/2	0.0692248512799706	0.230082313249277	Undet.	0.15057097784264
60	A2058	DMSO	1hr	MEK1/2	0.0826252576066361	0.123614350567049	Undet.	0.175486517573822
61	A2058	DMSO	12hr	MEK1/2	0.0620094387950748	0.129492163852485	Undet.	0.1115278490383
62	A2058	DMSO	24hr	MEK1/2	0.0297648135278074	0.181696061078935	Undet.	0.102437537828426
63	A2058	DMSO	48hr	MEK1/2	0.166048504570915	0.0960076912913624	Undet.	0.511713280357819
64	A2058	DMSO-2	mix	MEK1/2	0.0826741262871788	0.117411452999086	Undet.	0.0997183029099849
65	Mel133	DMSO-2	mix	MEK1/2	0.0471994776392498	0.0918303855564093	Poor	0.0569301669070518
1	A2058	901	5min	MEK1/2-pS217/221	0.160423282851313	0.0478891877247785	Good	0.358255548609864
2	A2058	AK	5min	MEK1/2-pS217/221	0.180642247351095	0.0713714328499674	Good	0.367740175307106
3	A2058	Nt	5min	MEK1/2-pS217/221	0.147088834002152	0.220204121529585	Undet.	0.31128181143516
4	A2058	PLX	5min	MEK1/2-pS217/221	0.110190025601662	0.13904763905541	Poor	0.221592759774794
5	A2058	SR	5min	MEK1/2-pS217/221	0.169929985615109	0.127947404641571	Undet.	0.348405539125328
6	A2058	St	5min	MEK1/2-pS217/221	0.169511217667279	0.132438582646965	Good	0.334676759965271
7	A2058	Tm 	5min	MEK1/2-pS217/221	0.157060673736663	0.0696808172986106	Good	0.294388529568801
8	A2058	991	5min	MEK1/2-pS217/221	0.177383134532138	0.0609053598378134	Good	0.344086514644833
9	A2058	901	15min	MEK1/2-pS217/221	0.139627208860243	0.108330882908137	Good	0.295477026815826
10	A2058	AK	15min	MEK1/2-pS217/221	0.13639934442758	0.0659662540841751	Good	0.239997166034809
11	A2058	Nt	15min	MEK1/2-pS217/221	0.12346472066193	0.102258285543054	Undet.	0.263822030837339
12	A2058	PLX	15min	MEK1/2-pS217/221	0.138273968824068	0.062549065875276	Good	0.326176975959621
13	A2058	SR	15min	MEK1/2-pS217/221	0.104418952109925	0.144431617914538	Good	0.214281059090323
14	A2058	St	15min	MEK1/2-pS217/221	0.18166497356624	0.0873673143842503	Good	0.391620834755721
15	A2058	Tm 	15min	MEK1/2-pS217/221	0.147809359037834	0.0514453893124409	Good	0.289715191969741
16	A2058	991	15min	MEK1/2-pS217/221	0.099710412476847	0.0579655458920862	Good	0.212208049953958
17	A2058	901	30min	MEK1/2-pS217/221	0.142581455590644	0.0596585815011004	Good	0.261771031260588
18	A2058	AK	30min	MEK1/2-pS217/221	0.141309539083292	0.128005510433835	Poor	0.269621120540948
19	A2058	Nt	30min	MEK1/2-pS217/221	0.00808740425444962	1.96545530619884	Poor	0.0137544555752163
20	A2058	PLX	30min	MEK1/2-pS217/221	0.131001888879425	0.0552871675406345	Good	0.252848494604992
21	A2058	SR	30min	MEK1/2-pS217/221	0.163845137037273	0.0468577562525875	Undet.	0.29328078049657
22	A2058	St	30min	MEK1/2-pS217/221	0.103244082447861	0.106914962780893	Undet.	0.207084361944035
23	A2058	Tm 	30min	MEK1/2-pS217/221	0.113268098390072	0.17884094890576	Undet.	0.20932361655715
24	A2058	991	30min	MEK1/2-pS217/221	0.162635467768655	0.11330920482659	Undet.	0.301119624617696
25	A2058	901	1hr	MEK1/2-pS217/221	0.123733422186415	0.055055850936918	Good	0.23423559867787
26	A2058	AK	1hr	MEK1/2-pS217/221	0.15693335370044	0.0784489607854795	Good	0.288668443833609
27	A2058	Nt	1hr	MEK1/2-pS217/221	0.164651218864143	0.0453361076272232	Good	0.331279208806718
28	A2058	PLX	1hr	MEK1/2-pS217/221	0.083242861218086	0.163099412911596	Good	0.147751503870136
29	A2058	SR	1hr	MEK1/2-pS217/221	0.15773931222682	0.0592123254990264	Undet.	0.286197243204659
30	A2058	St	1hr	MEK1/2-pS217/221	0.155776423163222	0.0600585130179031	Good	0.288840146964886
31	A2058	Tm 	1hr	MEK1/2-pS217/221	0.140769616531403	0.0870261504186946	Good	0.275151737352483
32	A2058	991	1hr	MEK1/2-pS217/221	0.137873302890443	0.124189317121585	Undet.	0.254602829690637
33	A2058	901	12hr	MEK1/2-pS217/221	0.119177470546474	0.0804284958271171	Good	0.197078786750253
34	A2058	AK	12hr	MEK1/2-pS217/221	0.103850100165232	0.072622910576626	Undet.	0.152749082551257
35	A2058	Nt	12hr	MEK1/2-pS217/221	0.126064924030851	0.13097155313851	Undet.	0.21709495277264
36	A2058	PLX	12hr	MEK1/2-pS217/221	0.115807232524904	0.0782791463726957	Undet.	0.172902196917821
37	A2058	SR	12hr	MEK1/2-pS217/221	0.0961547959415623	0.0543554793210572	Undet.	0.151326447305382
38	A2058	St	12hr	MEK1/2-pS217/221	0.10897128259713	0.0964772326988536	Undet.	0.165057754322555
39	A2058	Tm 	12hr	MEK1/2-pS217/221	0.143430109373299	0.0454241217362326	Undet.	0.230458868792797
40	A2058	991	12hr	MEK1/2-pS217/221	0.161107488619111	0.0893562975252734	Good	0.252822882938169
41	A2058	901	24hr	MEK1/2-pS217/221	0.0573943098911961	0.158605561091272	Undet.	0.122926541809085
42	A2058	AK	24hr	MEK1/2-pS217/221	0.0910220706505099	0.122590409300871	Undet.	0.188313001643252
43	A2058	Nt	24hr	MEK1/2-pS217/221	0.0572623095866996	0.155217712523252	Poor	0.13450127503206
44	A2058	PLX	24hr	MEK1/2-pS217/221	0.0488929279719919	0.168306156394741	Undet.	0.108541143687009
45	A2058	SR	24hr	MEK1/2-pS217/221	0.100637199416841	0.0567265575360178	Good	0.238056887351891
46	A2058	St	24hr	MEK1/2-pS217/221	0.0604185095083716	0.117385201624674	Undet.	0.144656951822185
47	A2058	Tm 	24hr	MEK1/2-pS217/221	0.0693692809512611	0.0562506189214818	Undet.	0.183392014388792
