AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
Cyclin E1_RS00273417 (mouse),MDACC,Cyclin E1,CCNE1,NA,c
Cyclin E1_RS00275571,MDACC,Cyclin E1,CCNE1,NA,c
Cyclin E1_RS00276605 (mouse),MDACC,Cyclin E1,CCNE1,NA,c
Cyclin E1(mouse)(V)_GBL9007874,MDACC,Cyclin E1,CCNE1,NA,c
CYCLINE2,MDACC,Cyclin E2,CCNE2,NA,c
Cyclin.E2,MDACC,Cyclin E2,CCNE2,NA,c
Cyclin E2(C)_GBL9008609,MDACC,Cyclin E2,CCNE2,NA,c
Cyclin_B1.R.V_GBL.9013838,MDACC,CyclinB1,CCNB1,NA,c
Cyclin_B1.R.V_GBL9026204,MDACC,CyclinB1,CCNB1,NA,c
Cyclin_D1.R.V_GBL.9013839,MDACC,CyclinD1,CCND1,NA,c
Cyclin_D1.R.V_GBL9026205,MDACC,CyclinD1,CCND1,NA,c
Cyclin_E1.M.V_GBL.9012885,MDACC,CyclinE1,CCNE1,NA,c
Cyclin_E1.M.V_GBL9026308,MDACC,CyclinE1,CCNE1,NA,c
Cyclin.B1.R.V_GBL1033693,MDACC,CyclinB1,CCNB1,NA,c
Cyclin.B1.R.V_GBL1113170,MDACC,CyclinB1,CCNB1,NA,c
Cyclin.B1.R.V_GBL1114871,MDACC,CyclinB1,CCNB1,NA,c
Cyclin.D1.R.V_GBL1033878,MDACC,CyclinD1,CCND1,NA,c
Cyclin.D1.R.V_GBL1113338,MDACC,CyclinD1,CCND1,NA,c
Cyclin.D1.R.V_GBL1115016,MDACC,CyclinD1,CCND1,NA,c
Cyclin.E1.M.V_GBL1033936,MDACC,CyclinE1,CCNE1,NA,c
Cyclin.E1.M.V_GBL1113384,MDACC,CyclinE1,CCNE1,NA,c
Cyclin.E1.M.V_GBL1115071,MDACC,CyclinE1,CCNE1,NA,c
CyclinB1_V,MDACC,CyclinB1,CCNB1,NA,c
CyclinD1_V,MDACC,CyclinD1,CCND1,NA,c
CyclinE1_V_mouse,MDACC,CyclinE1,CCNE1,NA,c
CyclinE2_V,MDACC,CyclinE2,CCNE2,NA,c
CYCLOPHILIN.D,MDACC,CyclophilinD,PPIF,NA,c
CYCLOPHILIN_D,MDACC,CyclophilinD,PPIF,NA,c
CYCLOPHILIN_F,MDACC,CyclophilinF,PPIF,NA,c
Cyclophilin.F,MDACC,CyclophilinF,PPIF,NA,c
Cyclophilin.F.M.V_GBL1033937,MDACC,CyclophilinF,PPIF,NA,c
Cyclophilin.F.M.V_GBL1113399,MDACC,CyclophilinF,PPIF,NA,c
Cyclophilin.F.M.V_GBL1115085,MDACC,CyclophilinF,PPIF,NA,c
Cytokeratin.19,MDACC,Cytokeratin19,KRT19,NA,c
Cytokeratin.19.M.C_GBL1115178,MDACC,Cytokeratin19,KRT19,NA,c
CYTOCHROME_C,MDACC,Cytochrome.C,CYC1,NA,c
CYTOKERATIN_19,MDACC,Cytokeratin19,KRT19,NA,c
CYTOKERATIN_5_6,MDACC,Cytokeratin5/6,KRT5,NA,c
D_ALPHATUBULIN,MDACC,aTubulin,TUBA1A,NA,c
D.a.Tubulin,MDACC,aTubulin,TUBA1A,NA,c
D.a.Tubulin.R.V_GBL1115003,MDACC,aTubulin,TUBA1A,NA,c
DAP1,MDACC,DAP1,DAP,NA,c
DAPK1,MDACC,DAPK1,DAPK1,NA,c
DAPK1_PS308,MDACC,DAPK1_pS308,DAPK1,S308,i
DAPK2,MDACC,DAPK2,DAPK2,NA,c
DAPK3,MDACC,DAPK3,DAPK3,NA,c
DAX1,MDACC,DAX1,NR0B1,NA,c
DAXX,MDACC,DAXX,DAXX,NA,c
DDB.1,MDACC,DDB1,DDB1,NA,c
DDB1,MDACC,DDB1,DDB1,NA,c
DJ1,MDACC,DJ1,PARK7,NA,c
DJ.1,MDACC,DJ1,PARK7,NA,c
DJ.1.R.C_GBL.9013840,MDACC,DJ1,PARK7,NA,c
DJ.1.R.C_GBL9026206,MDACC,DJ1,PARK7,NA,c
DJ1.R.V_GBL1033777,MDACC,DJ1,PARK7,NA,c
DJ1.R.V_GBL1113254,MDACC,DJ1,PARK7,NA,c
DJ1.R.V_GBL1114928,MDACC,DJ1,PARK7,NA,c
DM.HISTONE.H3,MDACC,DM.HistoneH3,H3F3B,NA,c
DM.Histone.H3,MDACC,DM.HistoneH3,H3F3B,NA,c
DM.Histone.H3.R.V_GBL1115004,MDACC,DM.HistoneH3,H3F3B,NA,c
DM.Histone.H3.R.V_GBL1115004,MDACC,DM.HistoneH3,H3F3A,NA,c
DM.K9.HISTONE.H3,MDACC,DM.K9.HistoneH3,H3F3B,NA,c
DM.K9.Histone.H3,MDACC,DM.K9.HistoneH3,H3F3B,NA,c
DM.K9.Histone.H3.R.C_GBL1115005,MDACC,DM.K9.HistoneH3,H3F3B,NA,c
DM.K9.Histone.H3.R.C_GBL1115005,MDACC,DM.K9.HistoneH3,H3F3A,NA,c
DNA_LIGASE_IV,MDACC,LIG4,LIG4,NA,c
DNA_TOPO1,MDACC,TOP1,TOP1,NA,c
DNA_PK,MDACC,DNA_PK,PRKDC,NA,c
DNA_PKCS,MDACC,DNA_PKCS,PRKDC,NA,NA
DNA_PKCS_PT2609,MDACC,DNA_PKCS_pT2609,PRKDC,T2609,a
DNA_PKCS_PS2056,MDACC,DNA_PKCS_pS2056,PRKDC,S2056,a
DNA_PKCS_PY393,MDACC,DNA_PKCS_pY393,PRKDC,Y393,a
DNA_PKCS_Y393,MDACC,DNA_PKCS_pY393,PRKDC,Y393,a
DRP1,MDACC,DRP1,DNM1L,NA,c
DUSP4,MDACC,DUSP4,DUSP4,NA,c
DUSP4.R.V_GBL1115007,MDACC,DUSP4,DUSP4,NA,c
DUSP6,MDACC,DUSP6,DUSP6,NA,c
DV13_GBL9008389,MDACC,DV13,DVL3,NA,c
DV13,MDACC,DV13,DVL3,NA,c
DVL3,MDACC,Dvl3,DVL3,NA,c
Dvl3,MDACC,Dvl3,DVL3,NA,c
Dvl3.R.V_GBL.9013841,MDACC,Dvl3,DVL3,NA,c
Dvl3.R.V_GBL1033785,MDACC,Dvl3,DVL3,NA,c
Dvl3.R.V_GBL1113262,MDACC,Dvl3,DVL3,NA,c
Dvl3.R.V_GBL1114932,MDACC,Dvl3,DVL3,NA,c
Dvl3.R.V_GBL9026207,MDACC,Dvl3,DVL3,NA,c
ECADHERIN,MSKCC,E.Cadherin,CDH1,NA,c
E.Cadherin,MSKCC,E.Cadherin,CDH1,NA,c
ECadherin,MSKCC,E.Cadherin,CDH1,NA,c
E.Cadherin,MSKCC,E.Cadherin,CDH1,NA,c
E.Cadherin_RS00276013,MDACC,ECadherin,CDH1,NA,c
E.Cadherin_V,MDACC,ECadherin,CDH1,NA,c
E.Cadherin.R.V_GBL.9013822,MDACC,ECadherin,CDH1,NA,c
E.Cadherin.R.V_GBL1033835,MDACC,ECadherin,CDH1,NA,c
E.Cadherin.R.V_GBL1113286,MDACC,ECadherin,CDH1,NA,c
E.Cadherin.R.V_GBL1114954,MDACC,ECadherin,CDH1,NA,c
E.Cadherin.R.V_GBL9026188,MDACC,ECadherin,CDH1,NA,c
E.Cadherin(V)_GBL9008563,MDACC,ECadherin,CDH1,NA,c
E.cadherin(V)_GBL9008607,MDACC,Ecadherin,CDH1,NA,c
EDG2,MDACC,EDG2,LPAR1,NA,c
EFABP,MDACC,EFABP,FABP5,NA,c
E.FABP(C20)_GBL9008525,MDACC,EFABP,FABP5,NA,c
E.FABP(C20)_GBL9008585,MDACC,EFABP,FABP5,NA,c
E2F2,MDACC,E2F2,E2F2,NA,c
E2F.2(TFE25)(mouse)_GBL9008568,MDACC,E2F2,E2F2,NA,c
E2F1,MDACC,E2F1,E2F1,NA,c
E2F1.M.V_GBL1033938,MDACC,E2F1,E2F1,NA,c
E2F1.M.V_GBL1113400,MDACC,E2F1,E2F1,NA,c
E2F1.wM.V_GBL1115244,MDACC,E2F1,E2F1,NA,c
ECadherin_RS00273591,MDACC,ECadherin,CDH1,NA,c
EEF2,MDACC,eEF2,EEF2,NA,c
eEF2,MDACC,eEF2,EEF2,NA,c
eEF2.R.C_GBL1033822,MDACC,eEF2,EEF2,NA,c
eEF2.R.C_GBL1113273,MDACC,eEF2,EEF2,NA,c
eEF2.R.C_GBL1114946,MDACC,eEF2,EEF2,NA,c
eEF2.R.V_GBL.9013842,MDACC,eEF2,EEF2,NA,c
eEF2.R.V_GBL9026208,MDACC,eEF2,EEF2,NA,c
EEF2K,MDACC,eEF2K,EEF2K,NA,c
eEF2K,MDACC,eEF2K,EEF2K,NA,c
eEF2K.R.V_GBL.9013843,MDACC,eEF2K,EEF2K,NA,c
eEF2K.R.V_GBL1033823,MDACC,eEF2K,EEF2K,NA,c
eEF2K.R.V_GBL1113274,MDACC,eEF2K,EEF2K,NA,c
eEF2K.R.V_GBL1114947,MDACC,eEF2K,EEF2K,NA,c
eEF2K.R.V_GBL9026209,MDACC,eEF2K,EEF2K,NA,c
EGF5(KIF11)_GBL9008541,MDACC,EGF5,KIF11,NA,c
EGFR,MSKCC,EGFR,EGFR,NA,c
EGFR.ADJ,MSKCC,EGFR,EGFR,NA,c
EGFR_PY1068,MDACC,EGFR_pY1068,EGFR,Y1068,a
EGFR (phospho.Tyr1068),MSKCC,EGFR_pY1068,EGFR,Y1068,a
EGFR_PY1173,MSKCC,EGFR_pY1173,EGFR,Y1173,a
EGFR (phospho.Tyr1173),MSKCC,EGFR_pY1173,EGFR,Y1173,a
EGFR_pY1068.R.C_GBL1033694,MDACC,EGFRpY1068,EGFR,Y1068,a
EGFR_pY1068.R.C_GBL1113184,MDACC,EGFRpY1068,EGFR,Y1068,a
EGFR_pY1068.R.C_GBL1114872,MDACC,EGFRpY1068,EGFR,Y1068,a
EGFR_pY1068,MDACC,EGFRpY1068,EGFR,Y1068,a
EGFR_pY1068.R.V_GBL.9013845,MDACC,EGFRpY1068,EGFR,Y1068,a
EGFR_pY1068.R.V_GBL9026211,MDACC,EGFRpY1068,EGFR,Y1068|Y1069,a
EGFR_pY1173,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173_C,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173_RS00273724,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173_RS00275851,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173.R.C_GBL.9013846,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173.R.C_GBL9026212,MDACC,EGFRpY1173,EGFR,Y1173|Y1172,a
EGFR_pY1173.R.V_GBL1033695,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173.R.V_GBL1113185,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173.R.V_GBL1114874,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_pY1173(C)_GBL9007923,MDACC,EGFRpY1173,EGFR,Y1173,a
EGFR_PY992,MDACC,EGFRpY992,EGFR,Y992,a
EGFR_pY992,MDACC,EGFRpY992,EGFR,Y992,a
EGFR_pY992_RS00273506 (weak to ok),MDACC,EGFRpY992,EGFR,Y992,a
EGFR_pY992_RS00276023,MDACC,EGFRpY992,EGFR,Y992,a
EGFR_pY992_V,MDACC,EGFRpY992,EGFR,Y992,a
EGFR_pY992.R.V_GBL9026213,MDACC,EGFRpY992,EGFR,Y992|Y998,a
EGFR_RS00273504,MDACC,EGFR,EGFR,NA,c
EGFR_RS00275853 (better),MDACC,EGFR,EGFR,NA,c
EGFR_RS00276022,MDACC,EGFR,EGFR,NA,c
EGFR_V,MDACC,EGFR,EGFR,NA,c
EGFR.CST2232..R.C_GBL9026334,MDACC,EGFRCST2232,EGFR,NA,c
EGFR.R.C_GBL.9013844,MDACC,EGFR,EGFR,NA,c
EGFR.R.C_GBL9026210,MDACC,EGFR,EGFR,NA,c
EGFR.R.V_GBL1033837,MDACC,EGFR,EGFR,NA,c
EGFR.R.V_GBL1113288,MDACC,EGFR,EGFR,NA,c
EGFR.R.V_GBL1114956,MDACC,EGFR,EGFR,NA,c
EGFR(V)_GBL9007922,MDACC,EGFR,EGFR,NA,c
eIF2 alpha (phospho.Ser51),MSKCC,eIF2a_pS51,EIF2S1,S51,i
ELF2A_PS51,MDACC,eIF2ApS51,EIF2S1,S51,i
EIF2A_PS51,MDACC,eIF2ApS51,EIF2S1,S51,i
eIF2A_pS51,MDACC,eIF2ApS51,EIF2S1,S51,i
eIF2A_pS51_GBL9008379,MDACC,eIF2ApS51,EIF2S1,S51,i
EIF4A1,MDACC,EIF4A1,EIF4A1,NA,c
EIF4E,MDACC,eIF4E,EIF4E,NA,c
eIF4E,MDACC,eIF4E,EIF4E,NA,c
eIF4E_V,MDACC,eIF4E,EIF4E,NA,c
eIF4E.R.V_GBL.9013848,MDACC,eIF4E,EIF4E,NA,c
eIF4E.R.V_GBL1033734,MDACC,eIF4E,EIF4E,NA,c
eIF4E.R.V_GBL1113225,MDACC,eIF4E,EIF4E,NA,c
eIF4E.R.V_GBL1114911,MDACC,eIF4E,EIF4E,NA,c
eIF4E.R.V_GBL9026214,MDACC,eIF4E,EIF4E,NA,c
eIF4E(V)_GBL9007926,MDACC,eIF4E,EIF4E,NA,c
EIF4G,MDACC,eIF4G,EIF4G1,NA,c
eIF4G,MDACC,eIF4G,EIF4G1,NA,c
eIF4G.R.C_GBL1033840,MDACC,eIF4G,EIF4G1,NA,c
eIF4G.R.C_GBL1113291,MDACC,eIF4G,EIF4G1,NA,c
eIF4G.R.C_GBL1114957,MDACC,eIF4G,EIF4G1,NA,c
ELF4E,MDACC,NA,NA,NA,NA
eIF4E,MDACC,eIF4E,EIF4E,NA,c
eIF4E,MDACC,eIF4E,EIF4E,NA,c
eIF4E_RS00269169,MDACC,eIF4E,EIF4E,NA,c
eIF4E_RS00275829,MDACC,eIF4E,EIF4E,NA,c
EIF4E_PS209,MDACC,eIF4E,EIF4E,S209,a
eIF4E_pS209,MDACC,eIF4E,EIF4E,S209,a
ELK1_PS383,MDACC,ELK1pS38,ELK1,S38,a
ELK1pS38,MDACC,ELK1pS38,ELK1,S38,a
ELK1_pS38(C)_GBL9007927,MDACC,ELK1pS38,ELK1,S38,a
Elk1_pS383,MDACC,ELK1pS38,ELK1,S38,a
ELK1_pS383_C,MDACC,ELK1pS38,ELK1,S38,a
Elk1_pS383.wR.C_GBL1115234,MDACC,Elk1pS383,ELK1,S383,a
EMA,MDACC,EMA,MUC1,NA,c
ENDOTHELIN1,MDACC,EDN1,EDN1,NA,c
ENY2,MDACC,ENY2,ENY2,NA,c
EPHA2,MDACC,EPHA2,EPHA2,NA,c
EPHA2_PS897,MDACC,EPHA2_pS897,EPHA2,S897,a
EPITHELIAL_MEMBRANE_ANTIGEN,MDACC,EMA,MUC1,NA,c
ER_pS118,MDACC,ERpS118,ESR1,S118,a
ER_pS118_RS00275852,MDACC,ERpS118,ESR1,S118,a
ERALPHA_PS118,MDACC,ERalphapS118,ESR1,S118,a
ER.alpha_pS118.R.V_GBL.9013850,MDACC,ERalphapS118,ESR1,S118,a
ER.alpha_pS118.R.V_GBL1033794,MDACC,ERalphapS118,ESR1,S118,a
ER.alpha_pS118.R.V_GBL1113187,MDACC,ERalphapS118,ESR1,S118,a
ER.alpha_pS118.R.V_GBL9026217,MDACC,ERapS118,ESR1,S118,a
ERALPHA,MDACC,ERalpha,ESR1,NA,c
ER.alpha,MDACC,ERalpha,ESR1,NA,c
ER.alpha.R.V_GBL.9013849,MDACC,ERalpha,ESR1,NA,c
ER.alpha.R.V_GBL1033879,MDACC,ERalpha,ESR1,NA,c
ER.alpha.R.V_GBL1113339,MDACC,ERalpha,ESR1,NA,c
ER.alpha.R.V_GBL9026215,MDACC,ERa,ESR1,NA,c
ER.R.V_GBL1115017,MDACC,ER,ESR1,NA,c
ER,MDACC,ER,ESR1,NA,c
ER(SP1)_GBL9008352,MDACC,ER,ESR1,NA,c
ER.alpha_pS118,MDACC,ERapS118,ESR1,S118,a
ER.a_pS118,MDACC,ERapS118,ESR1,S118,a
ERa_pS118,MDACC,ERapS118,ESR1,S118,a
ERa_pS118_RS00273723,MDACC,ERapS118,ESR1,S118,a
ERa_pS118(V)_GBL9008314,MDACC,ERapS118,ESR1,S118,a
ERALPHA_PS167,MDACC,ERapS167,ESR1,S167,a
ERa_pS167,MDACC,ERapS167,ESR1,S167,a
ERa_pS167_GBL9007929,MDACC,ERapS167,ESR1,S167,a
ERa_SP1,MDACC,ER,ESR1,NA,c
ERBETA,MDACC,ERbeta,ESR2,NA,c
ERCC1.M.C_GBL.9012886,MDACC,ERCC1,ERCC1,NA,c
ERCC1,MDACC,ERCC1,ERCC1,NA,c
ERCC1.M.C_GBL9026309,MDACC,ERCC1,ERCC1,NA,c
ERCC1.M.V_GBL1033939,MDACC,ERCC1,ERCC1,NA,c
ERCC1.M.V_GBL1113403,MDACC,ERCC1,ERCC1,NA,c
ERCC1.M.V_GBL1115089,MDACC,ERCC1,ERCC1,NA,c
ERCC2,MDACC,ERCC2,ERCC2,NA,c
ERCC5,MDACC,ERCC5,ERCC5,NA,c
ERCC5.R.C_GBL1115000,MDACC,ERCC5,ERCC5,NA,c
ERG_1_2_3,MDACC,Erg123,KCNH2,NA,c
ERG_1_2_3,MDACC,Erg123,KCNH6,NA,c
ERG_1_2_3,MDACC,Erg123,KCNH7,NA,c
Erg123,MDACC,Erg123,KCNH2,NA,c
Erg123,MDACC,Erg123,KCNH6,NA,c
Erg123,MDACC,Erg123,KCNH7,NA,c
Erg.1_2_3_GBL9008544,MDACC,Erg123,KCNH2,NA,c
Erg.1_2_3_GBL9008544,MDACC,Erg123,KCNH6,NA,c
Erg.1_2_3_GBL9008544,MDACC,Erg123,KCNH7,NA,c
ERK2,MDACC,ERK2,MAPK1,NA,c
ERK2_RS00269179,MDACC,ERK2,MAPK1,NA,c
ERK2_RS00276601 (with 1 line),MDACC,ERK2,MAPK1,NA,c
ERK5,MDACC,ERK5,MAPK7,NA,c
ETK,MDACC,ETK,EPHA3,NA,c
ETK_PY40,MDACC,ETK_PY40,EPHA3,Y40,a
ETS1,MDACC,Ets1,ETS1,NA,c
Ets.1,MDACC,Ets1,ETS1,NA,c
Ets.1.R.V_GBL1033886,MDACC,Ets1,ETS1,NA,c
Ets.1.R.V_GBL1113346,MDACC,Ets1,ETS1,NA,c
Ets.1.R.V_GBL1115218,MDACC,Ets1,ETS1,NA,c
ETV6,MDACC,ETV6,ETV6,NA,c
ETV6_RS00267482 (V WEAK),MDACC,ETV6,ETV6,NA,c
ETV6_RS00276597 (1_500),MDACC,ETV6,ETV6,NA,c
EZH2,MDACC,EZH2,EZH2,NA,c
FAK,MDACC,FAK,PTK2,NA,c
FAK_C,MDACC,FAK,PTK2,NA,c
FAK_PY397,MDACC,FAKpY397,PTK2,Y397,a
FAK_pY397,MDACC,FAKpY397,PTK2,Y397,a
FAK_pY397.R.V_GBL1033863,MDACC,FAKpY397,PTK2,Y397,a
FAK_pY397.R.V_GBL1113324,MDACC,FAKpY397,PTK2,Y397,a
FAK_pY397.wR.V_GBL1115130,MDACC,FAKpY397,PTK2,Y397,a
FAK_pY397(mouse)_GBL9008388,MDACC,FAKpY397,PTK2,Y397,a
FAK_PY925,MDACC,FAKpY925,PTK2,Y925,a
FAKpY925,MDACC,FAKpY925,PTK2,Y925,a
FAK_pY925_GBL9008356,MDACC,FAKpY925,PTK2,Y925,a
FAK_RS00273570,MDACC,FAK,PTK2,NA,c
FAK_RS00275864,MDACC,FAK,PTK2,NA,c
FAK.R.C_GBL.9013851,MDACC,FAK,PTK2,NA,c
FAK.R.C_GBL1114935,MDACC,FAK,PTK2,NA,c
FAK.R.C_GBL9026218,MDACC,FAK,PTK2,NA,c
FAK.R.E_GBL1033864,MDACC,FAK,PTK2,NA,c
FAK.R.E_GBL1113325,MDACC,FAK,PTK2,NA,c
FASN,MDACC,FASN,FASN,NA,c
FASN.R.V_GBL1033852,MDACC,FASN,FASN,NA,c
FASN.R.V_GBL1113313,MDACC,FASN,FASN,NA,c
FASN.R.V_GBL1114968,MDACC,FASN,FASN,NA,c
FASN(mouse)_GBL9008540,MDACC,FASN,FASN,NA,c
FANCD2,MDACC,FANCD2,FANCD2,NA,c
FGF_BASIC,MDACC,FGF2,FGF2,NA,c
FGF2,MDACC,FGF2,FGF2,NA,c
FGF9,MDACC,FGF9,FGF9,NA,c
FGFR_PY653_Y654,MDACC,FGFR_pY653_Y654,FGFR1,Y653|654,a
FGFR1,MDACC,FGFR1,FGFR1,NA,c
FGFR2,MDACC,FGFR2,FGFR2,NA,c
FGFR3,MDACC,FGFR3,FGFR3,NA,c
FGFR4,MDACC,FGFR4,FGFR4,NA,c
FIBRONECTIN,MDACC,Fibronectin,FN1,NA,c
FH,MDACC,FH,FH,NA,c
Fibronectin,MDACC,Fibronectin,FN1,NA,c
Fibronectin_C,MDACC,Fibronectin,FN1,NA,c
Fibronectin_RS00267483,MDACC,Fibronectin,FN1,NA,c
Fibronectin.R.C_GBL.9013852,MDACC,Fibronectin,FN1,NA,c
Fibronectin.R.C_GBL9026216,MDACC,Fibronectin,FN1,NA,c
Fibronectin.R.V_GBL1033958,MDACC,Fibronectin,FN1,NA,c
Fibronectin.R.V_GBL1113188,MDACC,Fibronectin,FN1,NA,c
Fibronectin.R.V_GBL1115185,MDACC,Fibronectin,FN1,NA,c
Fibronectin(C)_GBL9008346,MDACC,Fibronectin,FN1,NA,c
FKHRL_FOXO3,MDACC,FKHRL,FOXO1,NA,c
FKHRL.FOXO3.,MDACC,FKHRL,FOXO1,NA,c
FKHRL(FOXO3)_RS00275791,MDACC,FKHRL,FOXO1,NA,c
FN14,MDACC,FN14,TNFRSF12A,NA,c
FORTILIN,MDACC,Fortilin,TPT1,NA,c
Fortilin,MDACC,Fortilin,TPT1,NA,c
Fortilin(V)_GBL9008377,MDACC,Fortilin,TPT1,NA,c
FOXM1,MDACC,FoxM1,FOXM1,NA,c
FoxM1,MDACC,FoxM1,FOXM1,NA,c
FoxM1.R.V_GBL1033839,MDACC,FoxM1,FOXM1,NA,c
FoxM1.R.V_GBL1113290,MDACC,FoxM1,FOXM1,NA,c
FoxM1.wR.V_GBL1115127,MDACC,FoxM1,FOXM1,NA,c
FOXO3,MDACC,FOXO3,FOXO3,NA,c
FOXO3_RS00267496,MDACC,FOXO3,FOXO3,NA,c
FOXO3_RS00273767,MDACC,FOXO3,FOXO3,NA,c
FOXO3.a_pS318,MDACC,FOXO3apS318,FOXO3,S318,a
FOXO3.a_pS318_RS00275865,MDACC,FOXO3apS318,FOXO3,S318,a
FOXO3A,MDACC,FOXO3a,FOXO3,NA,c
FOXO3a_C,MDACC,FOXO3a,FOXO3,NA,c
FOXO3A_PS318,MDACC,FOXO3apS318,FOXO3,S318,a
FOXO3a_pS318,MDACC,FOXO3apS318,FOXO3,S318,a
FOXO3a_pS318_C,MDACC,FOXO3apS318,FOXO3,S318,a
FOXO3a_pS318_RS00273493,MDACC,FOXO3apS318,FOXO3,S318,a
FOXO3A_PS318_S321,MDACC,FOXO3ApS318S321,FOXO3,S318|S321,a
FOXO3a_pS318_S321,MDACC,FOXO3ApS318S321,FOXO3,S318|S321,a
FOXO3A_pS318_S321.R.C_GBL.9013854,MDACC,FOXO3ApS318S321,FOXO3,S318|S321,a
FoxO3a_pS318_S321.R.C_GBL1033796,MDACC,FoxO3apS318S321,FOXO3,S318|S321,a
FoxO3a_pS318_S321.R.C_GBL1113189,MDACC,FoxO3apS318S321,FOXO3,S318|S321,a
FOXO3a_pS318_S321.R.C_GBL9026220,MDACC,FOXO3apS318,FOXO3,S318|S321,a
FoxO3a_pS318_S321.wR.C_GBL1115103,MDACC,FoxO3apS318S321,FOXO3,S318|S321,a
FOXO3a_pS318(C)_GBL9007915,MDACC,FOXO3apS318,FOXO3,S318,a
FoxO3a,MDACC,FOXO3a,FOXO3,NA,c
FOXO3a,MDACC,FOXO3a,FOXO3,NA,c
FOXO3a.R.C_GBL.9013853,MDACC,FOXO3a,FOXO3,NA,c
FoxO3a.R.C_GBL1033838,MDACC,FoxO3a,FOXO3,NA,c
FoxO3a.R.C_GBL1113409,MDACC,FoxO3a,FOXO3,NA,c
FOXO3a.R.C_GBL9026219,MDACC,FOXO3a,FOXO3,NA,c
FoxO3a.wR.C_GBL1115179,MDACC,FoxO3a,FOXO3,NA,c
FOXO3a(C)_GBL9007934,MDACC,FOXO3a,FOXO3,NA,c
FOXO3a(C)_GBL9008372,MDACC,FOXO3a,FOXO3,NA,c
FOXP3,MDACC,FOXP3,FOXP3,NA,c
FRA.1,MDACC,FRA1,FOSL1,NA,c
FRA1,MDACC,FRA1,FOSL1,NA,c
FRA.1.R.C_GBL1115026,MDACC,FRA1,FOSL1,NA,c
FRA1_PS265,MDACC,FRA1_pS265,FOSL1,S265,a
FRA1_PS265_CLEAVED,MDACC,FRA1_pS265,FOSL1,S265,a
FRS2,MDACC,FRS2,FRS2,NA,c
FRS2ALPHA_PY196,MDACC,FRS2.a_PY196,FRS2,Y196,a
FRS2.a_PY436,MDACC,FRS2.a_PY436,FRS2,Y436,a
FRS2ALPHA_PY436,MDACC,FRS2.a_PY436,FRS2,Y436,a
G6PD,MDACC,G6PD,G6PD,NA,c
G6PD.M.V_GBL1033940,MDACC,G6PD,G6PD,NA,c
G6PD.M.V_GBL1113395,MDACC,G6PD,G6PD,NA,c
G6PD.M.V_GBL1115081,MDACC,G6PD,G6PD,NA,c
G6PDH,MDACC,G6PD,G6PD,NA,c
Gab2,MDACC,Gab2,GAB2,NA,c
Gab2_GBL9008380,MDACC,Gab2,GAB2,NA,c
GAB2_PY452,MDACC,Gab2pY452,GAB2,Y452,a
Gab2_pY452,MDACC,Gab2pY452,GAB2,Y452,a
Gab2_pY452_GBL9008391,MDACC,Gab2pY452,GAB2,Y452,a
GAB2,MDACC,GAB2,GAB2,NA,c
GAB2.R.V_GBL.9013855,MDACC,GAB2,GAB2,NA,c
Gab2.R.V_GBL1033786,MDACC,Gab2,GAB2,NA,c
Gab2.R.V_GBL1113263,MDACC,Gab2,GAB2,NA,c
Gab2.R.V_GBL1114933,MDACC,Gab2,GAB2,NA,c
GAPDH,MSKCC,GAPDH,GAPDH,NA,c
GAPDH.M.C_GBL1033890,MDACC,GAPDH,GAPDH,NA,c
GAPDH.M.C_GBL1113350,MDACC,GAPDH,GAPDH,NA,c
GAPDH.M.C_GBL1115032,MDACC,GAPDH,GAPDH,NA,c
GATA1,MDACC,GATA1,GATA1,NA,c
GATA3,MDACC,GATA3,GATA3,NA,c
GATA3_mouse,MDACC,GATA3,GATA3,NA,c
GATA3_RS00273422 (MOUSE),MDACC,GATA3,GATA3,NA,c
GATA3_RS00276387 (mouse) (BD558686),MDACC,GATA3,GATA3,NA,c
GATA3.M.V_GBL.9012887,MDACC,GATA3,GATA3,NA,c
GATA3.M.V_GBL1033951,MDACC,GATA3,GATA3,NA,c
GATA3.M.V_GBL1113386,MDACC,GATA3,GATA3,NA,c
GATA3.M.V_GBL1115073,MDACC,GATA3,GATA3,NA,c
GATA3.M.V_GBL9026310,MDACC,GATA3,GATA3,NA,c
GATA3(mouse)_GBL9008317,MDACC,GATA3,GATA3,NA,c
GATA3(mouse)(V)_GBL9007886,MDACC,GATA3,GATA3,NA,c
GATA3_BETA,MDACC,GATA3b,GATA3,NA,c
GATA4,MDACC,GATA4,GATA4,NA,c
GATA6,MDACC,GATA6,GATA6,NA,c
GCLC,MDACC,GCLC,GCLC,NA,c
GCLM,MDACC,GCLM,GCLM,NA,c
GCN5L2,MDACC,GCN5L2,KAT2A,NA,c
GCN5L2.R.V_GBL1033871,MDACC,GCN5L2,KAT2A,NA,c
