AntibodyLabel,Source,NodeName,Gene_Symbol,Sites,Effect
ARHI.M.C_GBL1113379,MDACC,ARHI,DIRAS3,NA,c
ARHI.M.C_GBL1115171,MDACC,ARHI,DIRAS3,NA,c
ARID1A,MDACC,ARID1A,ARID1A,NA,c
ARID1A.R.C_GBL1115009,MDACC,ARID1A,ARID1A,NA,c
ASCT2,MDACC,ASCT2,SLC1A5,NA,c
ASNS,MDACC,ASNS,ASNS,NA,c
ASNS_GBL9008566,MDACC,ASNS,ASNS,NA,c
ATG3,MDACC,ATG3,ATG3,NA,c
Atg3,MDACC,ATG3,ATG3,NA,c
ATG4B,MDACC,ATG4B,ATG4B,NA,c
ATG5,MDACC,ATG5,ATG5,NA,c
ATG7,MDACC,ATG7,ATG7,NA,c
Atg7,MDACC,ATG7,ATG7,NA,c
ATG13,MDACC,ATG13,ATG13,NA,c
ATG13_PS318,MDACC,ATG13_pS318,ATG13,S318,a
ATG14,MDACC,ATG14,ATG14,NA,c
ATG16L1,MDACC,ATG16L1,ATG16L1,NA,c
ATG12,MDACC,ATG12,ATG12,NA,c
ATM_GBL9008598,MDACC,ATM,ATM,NA,c
ATM_PS1981,MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981,MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981_mouse,MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981_RS00276380 (mouse),MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981_RS00276600 (mouse) (1_4000),MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981.R.V_GBL1033875,MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981.R.V_GBL1113336,MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981.wR.V_GBL1115133,MDACC,ATMpS1981,ATM,S1981,a
ATM_pS1981(mouse)(V)_GBL9007888,MDACC,ATMpS1981,ATM,S1981,a
ATM,MDACC,ATM,ATM,NA,c
ATM_RS00275792,MDACC,ATM,ATM,NA,c
ATM.R_GBL.9013814,MDACC,ATM,ATM,NA,c
ATM.R.V_GBL1033874,MDACC,ATM,ATM,NA,c
ATM.R.V_GBL1113335,MDACC,ATM,ATM,NA,c
ATM.R.V_GBL1115001,MDACC,ATM,ATM,NA,c
ATP_SYNTHASE_SUBUNIT_A,MDACC,ATP5A,ATP5F1A,NA,c
ATP_SYNTHASE_SUBUNIT_D,MDACC,ATP5PD,ATP5PD,NA,c
ATP5A,MDACC,ATP5A,ATP5A1,NA,c
ATP5A.M.C_GBL1115060,MDACC,ATP5A,ATP5A1,NA,c
ATP5H,MDACC,ATP5H,ATP5H,NA,c
ATP5H.M.C_GBL1033913,MDACC,ATP5H,ATP5H,NA,c
ATP5H.M.C_GBL1113414,MDACC,ATP5H,ATP5H,NA,c
ATP5H.M.C_GBL1115057,MDACC,ATP5H,ATP5H,NA,c
ATR,MDACC,ATR,ATR,NA,c
ATR_GBL9008404,MDACC,ATR,ATR,NA,c
ATR_PS428,MDACC,ATRpS428,ATR,S428,a
ATR_pS428,MDACC,ATRpS428,ATR,S428,a
ATR_pS428_GBL9008405,MDACC,ATRpS428,ATR,S428,a
ATR_pS428_RS00275794,MDACC,ATRpS428,ATR,S428,a
ATR_RS00276594,MDACC,ATR,ATR,NA,c
ATR.R.C_GBL1033779,MDACC,ATR,ATR,NA,c
ATR.R.C_GBL1113256,MDACC,ATR,ATR,NA,c
ATR.wR.C_GBL1115116,MDACC,ATR,ATR,NA,c
ATRX,MDACC,ATRX,ATRX,NA,c
ATRIP,MDACC,ATRIP,ATRIP,NA,c
ATRIP_GBL9008406,MDACC,ATRIP,ATRIP,NA,c
ATRIP_RS00275795,MDACC,ATRIP,ATRIP,NA,c
Aurora.A_pT288,MSKCC,AuroraA_pT288,AURKA,T288,a
AURORA_A_PT288,MSKCC,AuroraA_pT288,AURKA,T288,a
Aurora A (phospho.Thr288),MSKCC,AuroraA_pT288,AURKA,T288,a
AURORA_B,MDACC,AuroraB,AURKB,NA,c
Aurora.B,MDACC,AuroraB,AURKB,NA,c
Aurora.B.wR.V_GBL1115238,MDACC,AuroraB,AURKB,NA,c
